gvkey,fs_month
2244,A-Dec
2245,A-Jun
2246,A-Feb
2247,A-Jul
2248,A-Jun
2250,A-Apr
2251,A-Dec
2253,A-Sep
2256,A-Nov
2257,A-Dec
2258,A-Mar
2260,A-Sep
2261,A-Mar
2262,A-Dec
2263,A-Dec
2267,A-Mar
2269,A-Apr
2270,A-Dec
2272,A-Sep
2274,A-Dec
2275,A-Sep
2276,A-Dec
2278,A-Jul
2279,A-Dec
2280,A-Apr
2281,A-Dec
2282,A-Apr
2284,A-Jul
2285,A-Dec
2286,A-Sep
2287,A-Dec
2289,A-Apr
2290,A-Dec
2292,A-Oct
2293,A-Dec
2294,A-Jun
2295,A-Jun
2296,A-Dec
2299,A-Nov
2300,A-Dec
2302,A-Apr
2303,A-Sep
2304,A-Jun
2305,A-Jun
2306,A-Jun
2307,A-Dec
2308,A-Sep
2309,A-Sep
2310,A-Sep
2312,A-Dec
2315,A-Dec
2316,A-Dec
2321,A-Dec
2322,A-Dec
2323,A-Jan
2324,A-Jun
2325,A-Dec
2326,A-Dec
2327,A-Apr
2328,A-Dec
2329,A-Dec
2332,A-Dec
2333,A-Dec
2334,A-Feb
2337,A-Dec
2338,A-Dec
2342,A-Jun
2343,A-Oct
2344,A-Sep
2345,A-Sep
2347,A-Jun
2348,A-Sep
2352,A-Jul
2353,A-Feb
2355,A-Jun
2357,A-Dec
2359,A-Oct
2360,A-Dec
2361,A-Dec
2362,A-Dec
2364,A-Sep
2365,A-Dec
2366,A-Jan
2367,A-Dec
2368,A-Dec
2369,A-Dec
2370,A-Dec
2371,A-Dec
2372,A-Dec
2374,A-Dec
2375,A-Dec
2376,A-Dec
2377,A-Oct
2378,A-Aug
2379,A-Feb
2380,A-Mar
2381,A-Dec
2384,A-Dec
2385,A-Dec
2388,A-Dec
2389,A-Dec
2390,A-Oct
2392,A-Oct
2393,A-Jun
2395,A-Dec
2396,A-Mar
2399,A-Dec
2400,A-Dec
2401,A-Dec
2403,A-Dec
2405,A-Sep
2408,A-Dec
2410,A-Dec
2411,A-Mar
2412,A-Jun
2413,A-Dec
2417,A-Dec
2418,A-Dec
2419,A-Dec
2420,A-Aug
2421,A-Oct
2422,A-Sep
2424,A-Sep
2425,A-Jul
2426,A-Feb
2427,A-Dec
2435,A-Apr
2439,A-Sep
2441,A-Dec
2444,A-Dec
2445,A-Dec
2446,A-Dec
2448,A-Dec
2449,A-Jun
2450,A-Dec
2452,A-Dec
2454,A-Jul
2455,A-Dec
2457,A-Oct
2458,A-Dec
2459,A-Nov
2461,A-Sep
2463,A-Sep
2464,A-Dec
2465,A-Sep
2466,A-Jun
2467,A-Dec
2468,A-Apr
2469,A-Dec
2470,A-Sep
2471,A-Jul
2472,A-Jun
2473,A-Dec
2475,A-Dec
2477,A-Dec
2479,A-Sep
2480,A-Oct
2482,A-Dec
2483,A-Dec
2489,A-Sep
2490,A-Dec
2491,A-Dec
2493,A-Dec
2494,A-Jun
2496,A-Dec
2498,A-Dec
2500,A-Aug
2501,A-Jun
2502,A-Jul
2504,A-Dec
2505,A-Nov
2506,A-Oct
2507,A-Dec
2508,A-Dec
2509,A-Dec
2511,A-Nov
2512,A-Nov
2513,A-Jul
2514,A-Dec
2515,A-Jun
2516,A-Aug
2517,A-Dec
2518,A-Dec
2519,A-Apr
2520,A-Feb
2521,A-Dec
2524,A-Dec
2525,A-Jan
2526,A-Mar
2527,A-Dec
2528,A-Dec
2529,A-Dec
2530,A-Dec
2531,A-Apr
2533,A-Dec
2534,A-Aug
2535,A-Jun
2537,A-Jun
2540,A-Jun
2541,A-Dec
2542,A-Sep
2543,A-Apr
2544,A-Aug
2545,A-Jun
2546,A-Jun
2547,A-Dec
2550,A-Dec
2551,A-Feb
2553,A-Dec
2554,A-Jul
2555,A-Jan
2558,A-Dec
2559,A-Dec
2561,A-Mar
2562,A-Dec
2564,A-Dec
2566,A-Jun
2568,A-Dec
2569,A-Jun
2571,A-Apr
2572,A-Dec
2574,A-Dec
2575,A-Dec
2576,A-Jul
2577,A-Dec
2579,A-Dec
2580,A-Mar
2581,A-Dec
2583,A-Dec
2586,A-Dec
2588,A-Jun
2590,A-Jan
2591,A-Oct
2593,A-Sep
2595,A-Dec
2596,A-Jun
2597,A-Dec
2598,A-Dec
2599,A-Jun
2600,A-Dec
2602,A-Jun
2603,A-Dec
2604,A-Jul
2605,A-Jul
2606,A-Mar
2608,A-May
2611,A-Jan
2612,A-Dec
2613,A-May
2614,A-Jul
2615,A-Feb
2617,A-Jun
2618,A-Dec
2620,A-Dec
2621,A-Mar
2622,A-Dec
2623,A-Jul
2624,A-Dec
2625,A-Jun
2627,A-Dec
2628,A-Dec
2630,A-Dec
2632,A-Dec
2634,A-Jun
2635,A-Feb
2636,A-Dec
2639,A-Sep
2640,A-Aug
2641,A-Dec
2642,A-Sep
2643,A-Dec
2645,A-Jul
2646,A-Dec
2647,A-Dec
2648,A-Jun
2649,A-Dec
2652,A-Apr
2653,A-Jun
2657,A-Jan
2659,A-Mar
2660,A-Apr
2661,A-Dec
2663,A-Jul
2664,A-Dec
2667,A-Aug
2668,A-Jul
2669,A-Dec
2671,A-Dec
2674,A-Dec
2675,A-Dec
2679,A-Dec
2680,A-Dec
2685,A-Apr
2689,A-Dec
2694,A-Mar
2696,A-Dec
2697,A-Dec
2698,A-Dec
2702,A-Dec
2703,A-Dec
2706,A-Dec
2707,A-Dec
2708,A-Oct
2709,A-Dec
2711,A-Sep
2712,A-Sep
2713,A-Apr
2716,A-Dec
2717,A-Dec
2718,A-Dec
2720,A-Oct
2721,A-Dec
2722,A-Dec
2727,A-Dec
2729,A-Dec
2730,A-Oct
2731,A-Dec
2732,A-Mar
2733,A-Jul
2734,A-Dec
2735,A-Dec
2736,A-Dec
2737,A-May
2738,A-Jun
2742,A-Mar
2744,A-Dec
2745,A-Dec
2748,A-Dec
2750,A-Dec
2753,A-May
2754,A-May
2755,A-Dec
2757,A-Mar
2758,A-Apr
2759,A-Dec
2761,A-Dec
2763,A-Sep
2765,A-Sep
2766,A-Sep
2769,A-Sep
2771,A-Dec
2772,A-May
2773,A-Jul
2774,A-Dec
2775,A-Dec
2779,A-Dec
2780,A-Mar
2781,A-Dec
2783,A-Dec
2784,A-Dec
2785,A-Dec
2787,A-Jun
2788,A-Jun
2789,A-Oct
2792,A-Jan
2794,A-Mar
2797,A-Mar
2798,A-Dec
2800,A-Dec
2802,A-Jan
2804,A-Dec
2805,A-Dec
2807,A-Apr
2808,A-Sep
2810,A-Dec
2811,A-Dec
2814,A-Dec
2815,A-Dec
2816,A-Dec
2817,A-Dec
2818,A-Jan
2821,A-Mar
2822,A-Sep
2823,A-Dec
2824,A-Dec
2825,A-Mar
2826,A-Dec
2827,A-Dec
2828,A-Dec
2829,A-Oct
2834,A-Apr
2835,A-Dec
2836,A-Dec
2838,A-Dec
2839,A-Dec
2840,A-Jun
2841,A-Mar
2842,A-Dec
2844,A-Dec
2845,A-Mar
2846,A-Dec
2847,A-Dec
2848,A-Dec
2849,A-Dec
2850,A-Dec
2852,A-Dec
2854,A-Dec
2855,A-Dec
2856,A-Dec
2857,A-Dec
2858,A-Dec
2859,A-Dec
2860,A-Dec
2861,A-Dec
2862,A-Dec
2863,A-Dec
2865,A-Dec
2866,A-Dec
2867,A-Dec
2868,A-Dec
2869,A-Dec
2870,A-Dec
2871,A-Dec
2873,A-Jun
2874,A-Dec
2875,A-Dec
2877,A-Dec
2879,A-Jun
2880,A-Dec
2881,A-Mar
2883,A-Dec
2884,A-Dec
2887,A-Oct
2888,A-Dec
2889,A-Jun
2890,A-Jun
2891,A-Dec
2892,A-Dec
2893,A-Dec
2894,A-Dec
2895,A-Jun
2896,A-Dec
2898,A-Sep
2899,A-Dec
